date,n1,n2,n3,n4,n5,n6
2021-10-03,45,3,35,20,21,32
2021-10-07,10,6,30,2,17,1
2021-10-10,48,32,7,27,12,42
2021-10-14,38,13,33,27,2,39
2021-10-17,13,24,11,10,6,18
2021-10-21,25,21,24,4,8,2
2021-10-24,33,5,12,27,16,24
2021-10-28,25,4,1,7,35,20
2021-10-31,6,29,49,9,39,27
2021-11-04,28,44,24,1,38,4
2021-11-07,19,8,14,48,37,40
2021-11-11,39,22,46,30,9,33
2021-11-14,1,38,34,22,45,13
2021-11-18,33,22,27,37,21,35
2021-11-21,15,1,14,20,28,29
2021-11-25,35,9,6,27,5,33
2021-11-28,12,17,31,29,27,48
2021-12-05,16,10,15,18,40,4
2021-12-05,14,40,23,28,47,12
2021-12-09,25,28,2,14,4,43
2021-12-12,39,14,24,44,20,37
2021-12-16,3,28,39,27,5,7
2021-12-19,15,19,13,3,44,5
2021-12-24,2,17,15,12,14,23
2021-12-31,37,27,43,4,38,39
2021-12-31,41,9,5,45,34,1
2022-01-06,44,36,29,25,34,14
2022-01-09,7,26,5,48,49,25
2022-01-13,29,12,23,42,27,10
2022-01-16,13,42,40,14,37,23
2022-01-20,46,28,48,7,3,14
2022-01-23,46,29,3,33,40,26
2022-01-27,46,3,18,16,48,32
2022-01-30,40,12,29,16,48,47
2022-02-03,21,41,1,26,7,29
2022-02-06,49,33,23,16,10,7
2022-02-10,41,13,27,48,23,29
2022-02-13,32,3,7,40,37,14
2022-02-17,45,12,26,11,44,37
2022-02-20,46,20,37,25,32,8
2022-02-27,49,24,47,18,40,10
2022-03-03,44,38,10,11,24,21
2022-03-06,19,42,41,18,34,28
2022-03-06,10,8,6,4,42,48
2022-03-10,42,24,16,48,5,4
2022-03-13,18,17,28,39,15,43
2022-03-17,8,2,32,9,39,6
2022-03-20,7,2,13,19,46,24
2022-03-24,46,38,39,22,3,5
2022-03-27,7,31,9,13,8,3
2022-03-31,8,40,30,35,18,7
2022-04-03,25,20,11,49,34,27
2022-04-07,49,8,48,5,11,7
2022-04-10,40,33,36,35,43,4
2022-04-14,10,12,27,49,15,21
2022-04-17,20,16,13,35,25,19
2022-04-23,30,24,23,29,41,18
2022-04-23,5,37,35,3,31,49
2022-04-28,2,43,26,16,38,32
2022-05-01,10,29,37,49,26,42
2022-05-05,12,36,34,38,41,40
2022-05-08,22,8,27,3,41,11
2022-05-12,25,10,8,44,23,28
2022-05-15,45,6,24,5,39,44
2022-05-19,6,11,32,17,15,7
2022-05-22,47,34,38,9,39,30
2022-05-26,22,32,33,41,44,19
2022-05-29,26,10,20,41,16,13
2022-06-02,7,39,31,12,25,35
2022-06-05,15,23,18,34,11,41
2022-06-09,6,39,42,5,34,13
2022-06-12,36,13,19,37,27,38
2022-06-16,36,24,21,22,31,35
2022-06-19,28,26,9,2,48,5
2022-06-23,28,42,8,1,25,46
2022-06-26,35,33,27,10,46,43
2022-06-30,10,43,9,20,21,44
2022-07-03,42,44,19,28,26,13
2022-07-07,22,40,10,7,14,11
2022-07-10,1,23,18,49,42,29
2022-07-14,32,17,7,48,46,27
2022-07-17,17,8,27,38,29,25
2022-07-21,10,24,6,3,8,14
2022-07-24,39,35,38,10,4,43
2022-07-28,17,48,40,23,36,2
2022-07-31,21,38,26,24,12,20
2022-08-04,18,40,5,46,49,23
2022-08-07,9,32,17,6,41,11
2022-08-11,10,28,6,30,11,33
2022-08-14,20,4,25,23,26,34
2022-08-18,16,35,37,27,5,18
2022-08-21,2,12,27,15,16,9
2022-08-25,48,39,21,27,30,9
2022-08-28,39,31,24,38,3,43
2022-09-01,14,43,10,45,30,6
2022-09-04,47,31,8,36,26,27
2022-09-08,44,48,21,10,27,17
2022-09-11,19,18,31,10,5,17
2022-09-11,48,2,16,33,45,41
2022-09-15,45,49,12,40,10,41
2022-09-18,21,41,31,14,2,43
2022-09-22,13,35,18,28,10,47
2022-09-25,31,20,9,25,15,2
2022-09-29,7,18,22,30,33,12
2022-10-02,36,6,29,10,20,23
2022-10-06,25,27,9,13,37,7
2022-10-09,5,18,49,34,31,40
2022-10-13,22,40,45,5,20,44
2022-10-16,16,22,18,32,48,1
2022-10-20,6,41,47,15,2,24
2022-10-23,24,38,18,6,25,2
2022-10-27,16,30,2,9,25,1
2022-10-30,13,21,17,9,42,43
2022-11-03,30,12,25,10,1,37
2022-11-06,40,29,2,10,18,37
2022-11-10,31,3,24,12,23,7
2022-11-13,44,10,2,6,31,23
2022-11-17,18,11,29,36,10,35
2022-11-20,47,45,40,1,30,24
2022-11-24,17,25,32,29,18,49
2022-11-27,19,33,39,18,30,26
2022-12-04,36,27,23,14,38,43
2022-12-08,24,29,38,5,25,35
2022-12-11,45,8,12,41,35,30
2022-12-15,33,39,46,4,26,8
2022-12-18,3,21,40,26,16,15
2022-12-24,39,41,28,1,45,4
2022-12-31,13,4,35,19,10,7
2022-12-31,40,22,13,4,42,9
2023-01-05,23,35,40,6,14,16
2023-01-08,42,37,2,24,16,6
2023-01-12,6,2,4,7,12,39
2023-01-15,21,9,31,18,41,16
2023-01-19,47,30,44,39,3,31
2023-01-22,41,23,20,37,36,43
2023-01-26,49,42,34,28,11,37
2023-01-29,9,19,25,2,39,38
2023-02-02,10,45,33,29,25,44
2023-02-05,23,8,19,11,31,33
2023-02-09,17,29,44,49,30,26
2023-02-12,36,14,40,19,15,28
2023-02-16,14,43,7,40,37,36
2023-02-19,41,46,28,24,26,47
2023-02-23,13,44,12,45,6,2
2023-02-26,4,9,21,35,7,32
2023-03-02,48,33,5,45,29,49
2023-03-05,18,44,15,40,30,12
2023-03-09,22,47,34,29,10,9
2023-03-12,30,21,43,8,23,7
2023-03-12,8,3,10,5,25,2
2023-03-16,29,3,27,33,38,31
2023-03-19,21,5,13,10,47,36
2023-03-23,35,24,10,48,28,40
2023-03-26,21,33,36,14,2,35
2023-03-30,16,48,25,21,24,20
2023-04-02,5,16,12,36,32,1
2023-04-06,4,31,38,2,22,12
2023-04-09,13,19,42,27,46,25
2023-04-15,48,39,27,4,26,21
2023-04-15,14,26,12,5,4,7
2023-04-20,32,12,6,9,42,48
2023-04-23,6,45,38,44,39,10
2023-04-27,5,7,13,22,2,36
2023-04-30,49,22,33,13,28,30
2023-05-04,27,47,48,7,21,41
2023-05-07,1,41,36,8,32,20